team_short,team_long
Abl Christian,Abilene-Christian-Wildcats
Air Force,Air-Force-Falcons
Akron,Akron-Zips
Alab A&M,Alabama-AM-Bulldogs
Alabama,Alabama-Crimson-Tide
Alabama St,Alabama-St-Hornets
Albany,Albany-Great-Danes
Alcorn State,Alcorn-St-Braves
American,American-Eagles
App State,Appalachian-St-Mountaineers
AR Lit Rock,Little-Rock-Trojans
Arizona,Arizona-Wildcats
Arizona St,Arizona-State-Sun-Devils
Ark Pine Bl,Arkansas-Pine-Bluff-Golden-Lions
Arkansas,Arkansas-Razorbacks
Arkansas St,Arkansas-St-Red-Wolves
Army,Army-Black-Knights
Auburn,Auburn-Tigers
Austin Peay,Austin-Peay-Governors
Ball State,Ball-St-Cardinals
Baylor,Baylor-Bears
Bellarmine,Bellarmine-Knights
Belmont,Belmont-Bruins
Binghamton,Binghamton-Bearcats
Boise State,Boise-St-Broncos
Boston Col,Boston-College-Eagles
Boston U,Boston-U-Terriers
Bowling Grn,Bowling-Green-Falcons
Bradley,Bradley-Braves
Bryant,Bryant-Bulldogs
Bucknell,Bucknell-Bison
Buffalo,Buffalo-Bulls
Butler,Butler-Bulldogs
BYU,Brigham-Young-Cougars
Cal Baptist,California-Baptist-Lancers
Cal Poly,Cal-Poly-SLO-Mustangs
Cal St Nrdge,CSU-Northridge-Matadors
California,California-Golden-Bears
Campbell,Campbell-Fighting-Camels
Canisius,Canisius-Golden-Griffins
Central Ark,Central-Arkansas-Bears
Central Conn,Central-Conn-St-Blue-Devils
Central FL,Central-Florida-Knights
Central Mich,Central-Michigan-Chippewas
Charl South,Charleston-Southern-Buccaneers
Charlotte,Charlotte-49ers
Chattanooga,Chattanooga-Mocs
Chicago St,Chicago-St-Cougars
Cincinnati,Cincinnati-Bearcats
Citadel,The-Citadel-Bulldogs
Clemson,Clemson-Tigers
Cleveland St,Cleveland-St-Vikings
Coastal Car,Coastal-Carolina-Chanticleers
Col Charlestn,Charleston-Cougars
Colgate,Colgate-Raiders
Colorado,Colorado-Buffaloes
Colorado St,Colorado-St-Rams
Connecticut,Connecticut-Huskies
Coppin State,Coppin-St-Eagles
Creighton,Creighton-Bluejays
CS Bakersfld,CSU-Bakersfield-Roadrunners
CS Fullerton,CSU-Fullerton-Titans
Davidson,Davidson-Wildcats
Dayton,Dayton-Flyers
Delaware,Delaware-Fightin-Blue-Hens
Delaware St,Delaware-State-Hornets
Denver,Denver-Pioneers
DePaul,DePaul-Blue-Demons
Detroit,Detroit-Mercy-Titans
Dixie State,Dixie-State-Trailblazers
Drake,Drake-Bulldogs
Drexel,Drexel-Dragons
Duke,Duke-Blue-Devils
Duquesne,Duquesne-Dukes
E Carolina,East-Carolina-Pirates
E Illinois,Eastern-Illinois-Panthers
E Kentucky,Eastern-Kentucky-Colonels
E Michigan,Eastern-Michigan-Eagles
E Tenn St,East-Tennessee-St-Buccaneers
E Washingtn,Eastern-Washington-Eagles
Elon,Elon-University-Phoenix
Evansville,Evansville-Purple-Aces
F Dickinson,Fairleigh-Dickinson-Knights
Fairfield,Fairfield-Stags
Fla Atlantic,Florida-Atlantic-Owls
Fla Gulf Cst,Florida-Gulf-Coast-Eagles
Florida,Florida-Gators
Florida A&M,Florida-AM-Rattlers
Florida Intl,Florida-International-Panthers
Florida St,Florida-State-Seminoles
Fordham,Fordham-Rams
Fresno St,Fresno-St-Bulldogs
Furman,Furman-Paladins
GA Southern,Georgia-Southern-Eagles
GA Tech,Georgia-Tech-Yellow-Jackets
Gard-Webb,Gardner-Webb-Runnin-Bulldogs
Geo Mason,George-Mason-Patriots
Geo Wshgtn,George-Washington-Colonials
Georgetown,Georgetown-Hoyas
Georgia,Georgia-Bulldogs
Georgia St,Georgia-St-Panthers
Gonzaga,Gonzaga-Bulldogs
Grambling St,Grambling-State-Tigers
Grd Canyon,Grand-Canyon-Antelopes
Hampton,Hampton-Pirates
Hartford,Hartford-Hawks
Hawaii,Hawaii-Rainbow-Warriors
High Point,High-Point-Panthers
Hofstra,Hofstra-Pride
Holy Cross,Holy-Cross-Crusaders
Houston,Houston-Cougars
Houston Bap,Houston-Baptist-Huskies
Howard,Howard-Bison
Idaho,Idaho-Vandals
Idaho State,Idaho-State-Bengals
IL-Chicago,Illinois-Chicago-Flames
Illinois,Illinois-Fighting-Illini
Illinois St,Illinois-St-Redbirds
Incar Word,Incarnate-Word-Cardinals
Indiana,Indiana-Hoosiers
Indiana St,Indiana-St-Sycamores
Iona,Iona-Gaels
Iowa,Iowa-Hawkeyes
Iowa State,Iowa-State-Cyclones
IPFW,Purdue-Fort-Wayne-Mastodons
IUPUI,IUPUI-Jaguars
Jackson St,Jackson-State-Tigers
Jacksonville,Jacksonville-Dolphins
James Mad,James-Madison-Dukes
Jksnville St,Jacksonville-St-Gamecocks
Kansas,Kansas-Jayhawks
Kansas St,Kansas-State-Wildcats
Kennesaw St,Kennesaw-St-Owls
Kent State,Kent-St-Golden-Flashes
Kentucky,Kentucky-Wildcats
LA Lafayette,UL-Lafayette-Ragin-Cajuns
LA Monroe,UL-Monroe-Warhawks
La Salle,La-Salle-Explorers
LA Tech,Louisiana-Tech-Bulldogs
Lafayette,Lafayette-Leopards
Lamar,Lamar-Cardinals
Lehigh,Lehigh-Mountain-Hawks
Lg Beach St,Long-Beach-St-Beach
Liberty,Liberty-Flames
Lipscomb,Lipscomb-Bison
LIU,LIU-Sharks
Longwood,Longwood-Lancers
Louisville,Louisville-Cardinals
Loyola Mymt,Loyola-Marymount-Lions
Loyola-Chi,Loyola-Chicago-Ramblers
Loyola-MD,Loyola-MD-Greyhounds
LSU,Louisiana-State-Tigers
Maine,Maine-Black-Bears
Manhattan,Manhattan-Jaspers
Marist,Marist-Red-Foxes
Marquette,Marquette-Golden-Eagles
Marshall,Marshall-Thundering-Herd
Maryland,Maryland-Terrapins
Maryland BC,UMBC-Retrievers
Mass Lowell,Massachusetts-Lowell-River-Hawks
McNeese St,McNeese-St-Cowboys
Memphis,Memphis-Tigers
Mercer,Mercer-Bears
Merrimack,Merrimack-Warriors
Miami (FL),Miami-Hurricanes
Miami (OH),Miami-OH-RedHawks
Michigan,Michigan-Wolverines
Michigan St,Michigan-St-Spartans
Middle Tenn,Middle-Tennessee-St-Blue-Raiders
Minnesota,Minnesota-Golden-Gophers
Miss State,Mississippi-State-Bulldogs
Miss Val St,Mississippi-Valley-State-Delta-Devils
Mississippi,Mississippi-Rebels
Missouri,Missouri-Tigers
Missouri St,Missouri-St-Bears
Monmouth,Monmouth-NJ-Hawks
Montana,Montana-Grizzlies
Montana St,Montana-St-Bobcats
Morehead St,Morehead-St-Eagles
Morgan St,Morgan-St-Bears
Mt St Marys,Mount-St-Marys-Mountaineers
Murray St,Murray-St-Racers
N Alabama,North-Alabama-Lions
N Arizona,Northern-Arizona-Lumberjacks
N Carolina,North-Carolina-Tar-Heels
N Colorado,Northern-Colorado-Bears
N Dakota St,North-Dakota-State-Bison
N Florida,North-Florida-Ospreys
N Hampshire,New-Hampshire-Wildcats
N Illinois,Northern-Illinois-Huskies
N Iowa,Northern-Iowa-Panthers
N Kentucky,Northern-Kentucky-Norse
N Mex State,New-Mexico-St-Aggies
Navy,Navy-Midshipmen
NC A&T,North-Carolina-AT-Aggies
NC Central,North-Carolina-Central-Eagles
NC State,NC-State-Wolfpack
NC-Asheville,UNC-Asheville-Bulldogs
NC-Grnsboro,UNC-Greensboro-Spartans
NC-Wilmgton,UNC-Wilmington-Seahawks
Neb Omaha,Nebraska-Omaha-Mavericks
Nebraska,Nebraska-Cornhuskers
Nevada,Nevada-Wolf-Pack
New Mexico,New-Mexico-Lobos
New Orleans,New-Orleans-Privateers
Niagara,Niagara-Purple-Eagles
Nicholls St,Nicholls-State-Colonels
NJIT,NJIT-Highlanders
Norfolk St,Norfolk-State-Spartans
North Dakota,North-Dakota-Fighting-Hawks
North Texas,North-Texas-Mean-Green
Northeastrn,Northeastern-Huskies
Northwestern,Northwestern-Wildcats
Notre Dame,Notre-Dame-Fighting-Irish
NW State,Northwestern-St-Demons
Oakland,Oakland-Golden-Grizzlies
Ohio,Ohio-Bobcats
Ohio State,Ohio-St-Buckeyes
Oklahoma,Oklahoma-Sooners
Oklahoma St,Oklahoma-State-Cowboys
Old Dominion,Old-Dominion-Monarchs
Oral Roberts,Oral-Roberts-Golden-Eagles
Oregon,Oregon-Ducks
Oregon St,Oregon-St-Beavers
Pacific,Pacific-Tigers
Penn State,Penn-St-Nittany-Lions
Pepperdine,Pepperdine-Waves
Pittsburgh,Pittsburgh-Panthers
Portland,Portland-Pilots
Portland St,Portland-St-Vikings
Prairie View,Prairie-View-AM-Panthers
Presbyterian,Presbyterian-Blue-Hose
Providence,Providence-Friars
Purdue,Purdue-Boilermakers
Quinnipiac,Quinnipiac-Bobcats
Radford,Radford-Highlanders
Rhode Island,Rhode-Island-Rams
Rice,Rice-Owls
Richmond,Richmond-Spiders
Rider,Rider-Broncs
Rob Morris,Robert-Morris-Colonials
Rutgers,Rutgers-Scarlet-Knights
S Alabama,South-Alabama-Jaguars
S Car State,South-Carolina-State-Bulldogs
S Carolina,South-Carolina-Gamecocks
S Dakota St,South-Dakota-State-Jackrabbits
S Florida,South-Florida-Bulls
S Illinois,Southern-Illinois-Salukis
S Methodist,Southern-Methodist-Mustangs
S Mississippi,Southern-Miss-Golden-Eagles
S Utah,Southern-Utah-Thunderbirds
Sac State,Sacramento-State-Hornets
Sacred Hrt,Sacred-Heart-Pioneers
Saint Louis,Saint-Louis-Billikens
Sam Hous St,Sam-Houston-St-Bearkats
Samford,Samford-Bulldogs
San Diego,San-Diego-Toreros
San Diego St,San-Diego-St-Aztecs
San Fransco,San-Francisco-Dons
San Jose St,San-Jose-St-Spartans
Santa Clara,Santa-Clara-Broncos
SC Upstate,South-Carolina-Upstate-Spartans
SE Louisiana,Southeastern-Louisiana-Lions
SE Missouri,SE-Missouri-St-Redhawks
Seattle,Seattle-Redhawks
Seton Hall,Seton-Hall-Pirates
Siena,Siena-Saints
SIU Edward,SIU-Edwardsville-Cougars
South Dakota,South-Dakota-Coyotes
Southern,Southern-Jaguars
St Bonavent,St-Bonaventure-Bonnies
St Fran (NY),St-Francis-BKN-Terriers
St Fran (PA),St-Francis-PA-Red-Flash
St Johns,St-Johns-Red-Storm
St Josephs,Saint-Josephs-Hawks
St Marys,Saint-Marys-Gaels
St Peters,Saint-Peters-Peacocks
Stanford,Stanford-Cardinal
Ste F Austin,Stephen-F-Austin-Lumberjacks
Stetson,Stetson-Hatters
Stony Brook,Stony-Brook-Seawolves
Syracuse,Syracuse-Orange
Tarleton State,Tarleton-State-Texans
Temple,Temple-Owls
Tennessee,Tennessee-Volunteers
Texas,Texas-Longhorns
Texas A&M,Texas-AM-Aggies
Texas State,Texas-State-Bobcats
Texas Tech,Texas-Tech-Red-Raiders
TN Martin,Tenn-Martin-Skyhawks
TN State,Tennessee-St-Tigers
TN Tech,Tennessee-Tech-Golden-Eagles
Toledo,Toledo-Rockets
Towson,Towson-Tigers
Troy,Troy-Trojans
Tulane,Tulane-Green-Wave
Tulsa,Tulsa-Golden-Hurricane
TX A&M-CC,Texas-AM-CC-Islanders
TX Christian,Texas-Christian-Horned-Frogs
TX El Paso,Texas-El-Paso-Miners
TX Southern,Texas-Southern-Tigers
TX-Arlington,Texas-Arlington-Mavericks
TX-Pan Am,Texas-Rio-Grande-Valley-Vaqueros
TX-San Ant,Texas-San-Antonio-Roadrunners
U Mass,Massachusetts-Minutemen
UAB,UAB-Blazers
UC Davis,UC-Davis-Aggies
UC Irvine,UC-Irvine-Anteaters
UC Riverside,UC-Riverside-Highlanders
UC San Diego,UC-San-Diego-Tritons
UCLA,UCLA-Bruins
UCSB,UC-Santa-Barbara-Gauchos
UMKC,Kansas-City-Roos
UNLV,UNLV-Rebels
USC,Southern-California-Trojans
Utah,Utah-Utes
Utah State,Utah-St-Aggies
Utah Val St,Utah-Valley-Wolverines
VA Military,VMI-Keydets
VA Tech,Virginia-Tech-Hokies
Valparaiso,Valparaiso-Crusaders
Vanderbilt,Vanderbilt-Commodores
VCU,VCU-Rams
Vermont,Vermont-Catamounts
Villanova,Villanova-Wildcats
Virginia,Virginia-Cavaliers
W Carolina,Western-Carolina-Catamounts
W Illinois,Western-Illinois-Leathernecks
W Kentucky,Western-Kentucky-Hilltoppers
W Michigan,Western-Michigan-Broncos
W Virginia,West-Virginia-Mountaineers
Wagner,Wagner-Seahawks
Wake Forest,Wake-Forest-Demon-Deacons
Wash State,Washington-St-Cougars
Washington,Washington-Huskies
Weber State,Weber-St-Wildcats
WI-Grn Bay,Green-Bay-Phoenix
WI-Milwkee,Milwaukee-Panthers
Wichita St,Wichita-St-Shockers
Winthrop,Winthrop-Eagles
Wisconsin,Wisconsin-Badgers
Wm & Mary,William--Mary-Tribe
Wofford,Wofford-Terriers
Wright State,Wright-St-Raiders
Wyoming,Wyoming-Cowboys
Xavier,Xavier-Musketeers
Youngs St,Youngstown-St-Penguins
